Oznake vrstic;Štetje od Name;Povpreèje od Play Time;Povpreèje od Complexity
Abstract;26;40,96;2,01
Children's;5;20,00;1,07
Customizable;9;56,67;2,90
Family;151;42,89;1,71
Party;40;32,38;1,34
Strategy;166;97,62;3,00
Thematic;51;132,06;2,64
Wargames;4;135,00;2,68
Skupna vsota;452;72,85;2,30
